# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
li wu 	禮物	c=1 d=1 t=149632
li xi 	利息	c=7 d=3.9571e-06 t=176129
li xian 	離線	c=1 d=1 t=164405
li xiang 	理想	c=2 d=1.00069 t=26520
li yi 	利益	c=1 d=1 t=157655
li yi lian chi 	禮義廉恥	c=1 d=1 t=116518
li you 	李有	c=1 d=0.1 t=146387
li you 	理由	c=13 d=1 t=171677
li you sheng 	李有勝	c=1 d=1 t=146388
li zhi 	李志	c=3 d=2.80814 t=17997
li zhi 	荔枝	c=2 d=1.92312 t=171982
li zhi 	離職	c=34 d=0.181832 t=176129
li zhi qi zhuang 	理直氣壯	c=1 d=1 t=120435
li zi 	李子	c=1 d=1 t=139478
li zi 	梨子	c=1 d=1 t=138612
li zong 	李總	c=3 d=1.43406e-06 t=176129
lia 	倆	c=9 d=1.91851 t=143254
lia biao 	倆表	c=1 d=1 t=90889
lia zhong 	倆種	c=1 d=1 t=169861
lian 	練	c=1 d=1 t=99825
lian 	臉	c=14 d=1 t=145761
lian 	連	c=37 d=1.54949e-05 t=176129
lian 	鏈	c=1 d=0.646074 t=44895
lian biao 	連表	c=1 d=1 t=10978
lian bu shang 	連不上	c=14 d=1 t=145384
lian ge 	連個	c=2 d=1 t=102767
lian he 	聯合	c=5 d=3.02984 t=154635
lian jia 	廉價	c=1 d=1 t=32867
lian jie 	連接	c=88 d=1 t=169439
lian jie 	鏈接	c=23 d=1 t=80866
lian lian 	練練	c=1 d=1 t=9544
lian lu 	鏈路	c=1 d=3.56328e-08 t=176129
lian meng 	聯盟	c=5 d=2.01512e-08 t=176129
lian ming 	聯名	c=2 d=1.86936 t=13504
lian pi 	臉皮	c=1 d=1 t=24134
lian shang 	臉上	c=3 d=1 t=157102
lian shang 	連上	c=6 d=1.9802 t=145404
lian tiao 	聯調	c=66 d=0.000597219 t=176129
lian tong 	聯通	c=1 d=1 t=91084
lian wai 	連外	c=1 d=1 t=56401
lian wang 	聯網	c=3 d=1 t=121978
lian wang 	连网	c=1 d=1.08958 t=72046
lian xi 	聯繫	c=11 d=1.74082 t=155239
lian xi ren 	聯繫人	c=16 d=2.70264 t=90888
lian xian 	連線	c=1 d=1 t=84045
lian xu 	連續	c=10 d=1 t=157856
lian zhe 	連着	c=9 d=0.121238 t=176129
lian zhou zhuan 	連軸轉	c=1 d=0.856415 t=176129
lian zhuang 	連莊	c=1 d=1 t=60411
lian zi 	鍊子	c=1 d=1 t=62794
liang 	亮	c=8 d=6.9623e-06 t=176129
liang 	兩	c=24 d=1 t=143319
liang 	涼	c=22 d=1.47062e-08 t=176129
liang 	輛	c=5 d=1 t=137369
liang 	量	c=17 d=1 t=173755
liang ba 	兩把	c=1 d=1 t=10840
liang ban 	兩版	c=3 d=0.0265587 t=176129
liang ban 	兩班	c=1 d=0.943665 t=71177
liang ban dao 	兩班到	c=1 d=1 t=71178
liang bao 	兩包	c=1 d=1 t=121633
liang bei 	兩杯	c=4 d=1 t=97993
liang bi 	兩筆	c=3 d=1.99461 t=14962
liang bian 	兩遍	c=1 d=1 t=89978
liang bian 	兩邊	c=1 d=1 t=58838
liang bu 	兩部	c=1 d=1 t=8257
liang ceng 	兩層	c=1 d=1 t=52543
liang chen ji ri 	良辰吉日	c=1 d=1 t=40474
liang ci 	兩次	c=21 d=1.00001 t=172677
liang da 	兩大	c=1 d=1 t=25712
liang dan 	兩單	c=1 d=1 t=5112
liang dao san ge yue 	兩到三個月	c=1 d=1 t=28588
liang dian 	兩點	c=7 d=1 t=162183
liang dun 	兩頓	c=1 d=1 t=152763
liang fen 	兩份	c=1 d=1 t=72663
liang fen zhong 	兩分鐘	c=6 d=1 t=174411
liang ge 	兩個	c=242 d=0.0546222 t=176129
liang ge duo xiao shi 	兩個多小時	c=1 d=1 t=165515
liang ge re 	兩個熱	c=1 d=1.25339e-10 t=176129
liang ge ren 	兩個人	c=14 d=1 t=153745
liang ge yue 	兩個月	c=18 d=1 t=162275
liang gen 	兩根	c=4 d=1 t=139980
liang hang 	兩行	c=4 d=1 t=105821
liang he 	兩盒	c=3 d=1 t=122935
liang jian 	兩件	c=7 d=1 t=137904
liang jin 	兩斤	c=1 d=1 t=97128
liang ju 	兩句	c=2 d=1 t=92984
liang ke 	兩克	c=1 d=1 t=62798
liang kou 	兩口	c=1 d=8.39886e-07 t=176129
liang kuai 	兩塊	c=1 d=1 t=75540
liang kuai 	涼快	c=6 d=1.00062 t=52461
liang kuai qian 	兩塊錢	c=1 d=1 t=67587
liang miao 	兩秒	c=1 d=1 t=164724
liang nian 	兩年	c=9 d=1 t=122329
liang pi 	涼皮	c=1 d=1 t=166897
liang pian 	兩片	c=2 d=1.99501 t=107134
liang ping 	兩瓶	c=2 d=1 t=39996
liang ping jiu 	兩瓶酒	c=1 d=1 t=28312
liang ren 	兩人	c=1 d=1 t=49284
liang ri 	兩日	c=0 d=0.1 t=22948
liang ri you 	兩日遊	c=1 d=1 t=22949
liang san 	兩三	c=1 d=1 t=157106
liang san bu 	兩三部	c=1 d=1 t=145562
liang san ge 	兩三個	c=4 d=1 t=145750
liang san ge yue 	兩三個月	c=1 d=1 t=166708
liang san nian 	兩三年	c=1 d=1 t=24755
liang shi 	兩室	c=1 d=1 t=5379
liang shuang 	兩雙	c=2 d=1 t=58524
liang shui 	涼水	c=1 d=1 t=79602
liang tai 	兩臺	c=4 d=1.62528e-08 t=176129
liang tao 	兩套	c=9 d=1.95123 t=122884
liang tian 	兩天	c=65 d=0.179964 t=176129
liang tian ba 	兩天吧	c=1 d=1 t=35487
liang tian jie kou 	兩天接口	c=1 d=1 t=87734
liang tiao 	兩條	c=13 d=1 t=159575
liang wan 	兩萬	c=6 d=1 t=168249
liang xia 	兩下	c=2 d=1 t=155238
liang xiang 	兩箱	c=0 d=0.1 t=34237
liang xiang you 	兩箱油	c=1 d=1 t=34238
liang xiao shi 	兩小時	c=1 d=1 t=21631
liang xin 	良心	c=1 d=1 t=36305
liang yi 	兩億	c=1 d=1 t=77362
liang zhang 	兩張	c=12 d=1 t=155677
liang zhong 	兩種	c=6 d=1 t=169862
liang zhou 	兩週	c=3 d=1 t=128494
liao 	了	c=2 d=1 t=83778
liao 	聊	c=17 d=1 t=129128
liao biao 	聊表	c=1 d=1 t=90660
liao guo 	聊過	c=1 d=1 t=22342
liao jie 	瞭解	c=6 d=1 t=147537
liao jie guo 	瞭解過	c=1 d=1 t=16211
liao liao 	聊聊	c=1 d=1 t=129054
liao qi lai 	聊起來	c=1 d=1 t=147540
liao shi 	了事	c=0 d=0.1 t=131171
liao shi er 	了事兒	c=1 d=1 t=131172
liao tian 	聊天	c=59 d=0.00594622 t=176129
liao tiao 	撂挑	c=2 d=1 t=155224
liao zhe 	聊着	c=1 d=1 t=129130
lie 	列	c=2 d=1 t=150493
lie 	烈	c=1 d=1 t=126043
lie bian 	裂變	c=1 d=1 t=113330
lie biao 	列表	c=365 d=0.538343 t=176129
lie chu lai 	列出來	c=1 d=1 t=20214
lie kai 	裂開	c=2 d=1.99501 t=68766
lie ming 	列名	c=7 d=3.47197 t=148831
lie zhi 	劣質	c=1 d=2.56879e-11 t=176129
lin 	拎	c=1 d=1 t=127879
lin 	林	c=21 d=1.00195 t=175032
lin 	淋	c=1 d=1 t=16419
lin 	臨	c=1 d=1 t=174595
lin an 	臨安	c=1 d=1 t=147065
lin ba 	淋巴	c=1 d=1 t=23876
lin jian li 	林建立	c=1 d=1 t=119792
lin meng yue 	林夢月	c=1 d=1 t=114873
lin shi 	臨時	c=13 d=1.96079 t=168697
lin wei 	臨危	c=1 d=1 t=49658
lin yu 	淋雨	c=1 d=1 t=94498
ling 	令	c=2 d=1.57121 t=17323
ling 	另	c=2 d=1 t=173351
ling 	靈	c=3 d=1.96561 t=23556
ling 	領	c=48 d=0.76721 t=176129
ling chen 	凌晨	c=5 d=1 t=128909
ling dao 	領到	c=2 d=1 t=71704
ling dao 	領導	c=411 d=0.259386 t=176129
ling dao men 	領導們	c=3 d=1 t=128442
ling en 	靈恩	c=1 d=1 t=95008
ling gong zi 	領工資	c=1 d=1 t=73019
ling jian 	零件	c=1 d=1 t=46469
ling jing 	靈境	c=2 d=1 t=23552
ling jing xing zhe 	靈境行者	c=1 d=1 t=20756
ling qian 	零錢	c=1 d=1 t=138671
ling qu 	領取	c=11 d=1 t=136620
ling ren 	令人	c=2 d=1.00001 t=49520
ling shi 	零食	c=49 d=0.0713597 t=176129
ling shi le 	零食了	c=1 d=1 t=170377
ling sui 	零碎	c=1 d=1 t=123414
ling tou 	零頭	c=1 d=1 t=86888
ling wai 	另外	c=47 d=2.31825 t=173572
ling wan 	領完	c=1 d=1 t=152778
ling xia 	零下	c=1 d=1 t=98747
ling yan 	靈驗	c=1 d=1 t=128457
ling yu 	領域	c=7 d=1.00115 t=136732
ling zheng 	領證	c=1 d=1 t=129728
liu 	六	c=8 d=1 t=154951
liu 	劉	c=12 d=2.30004e-05 t=176129
liu 	流	c=7 d=2.7206e-10 t=176129
liu 	溜	c=1 d=1 t=141645
liu 	留	c=10 d=1 t=168447
liu 	遛	c=2 d=1 t=126450
liu bi ti 	流鼻涕	c=1 d=1 t=126333
liu chan 	流產	c=1 d=1 t=161472
liu chang 	流暢	c=4 d=1 t=138014
liu cheng 	流程	c=146 d=0.207849 t=176129
liu cun 	留存	c=19 d=1 t=90962
liu da 	溜達	c=2 d=1.99501 t=88204
liu dao 	留到	c=1 d=1 t=122456
liu de hua 	劉德華	c=1 d=1 t=37068
liu dian 	留點	c=1 d=1 t=34304
liu ge 	留個	c=2 d=1 t=43256
liu gong zi 	劉公子	c=1 d=1 t=104915
liu lan 	瀏覽	c=2 d=1.86936 t=118318
liu lan liang 	瀏覽量	c=2 d=1.99501 t=175646
liu lan qi 	瀏覽器	c=7 d=1.98511 t=138936
liu lian 	榴蓮	c=11 d=0.0101529 t=176129
liu liang 	流量	c=19 d=1 t=160360
liu liu 	溜溜	c=1 d=1 t=78645
liu lu 	流露	c=1 d=1 t=99507
liu mou 	劉某	c=0 d=0.1 t=62800
liu mou ru 	劉某入	c=1 d=1 t=62801
liu shui 	流水	c=11 d=0.105928 t=176129
liu shui hao 	流水號	c=2 d=1 t=41939
liu shui xian 	流水線	c=1 d=1.43085e-09 t=176129
liu suan lv 	硫酸鋁	c=0 d=0.1 t=121037
liu wen 	劉文	c=0 d=0.1 t=88007
liu wen xiang 	劉文祥	c=2 d=1 t=94883
liu xia 	留下	c=1 d=0.1 t=42946
liu xia lai 	留下來	c=2 d=1 t=55546
liu xue 	流血	c=2 d=1 t=156516
liu yang 	瀏陽	c=1 d=1 t=122217
liu yi 	留意	c=1 d=1 t=63467
liu yi shou 	留一手	c=1 d=1 t=144052
liu yu 	劉玉	c=0 d=0.1 t=17314
liu yu jun 	劉玉軍	c=64 d=1 t=174421
liu zhe 	留着	c=8 d=1.33067e-08 t=176129
liu zhi 	留職	c=1 d=1 t=158892
liu zhi yu 	劉志雨	c=12 d=1 t=176098
liu zhuan 	流轉	c=2 d=1.49659 t=85367
lo 	咯	c=11 d=0.0199405 t=176129
lo ca 	咯嚓	c=0 d=0.1 t=72149
lo ca kan 	咯嚓看	c=1 d=1 t=72150
long 	籠	c=2 d=1 t=148026
long 	龍	c=5 d=6.09959e-05 t=176129
long er 	龍兒	c=6 d=1 t=119582
long ge 	龍哥	c=4 d=1 t=153513
long hu 	龍湖	c=1 d=1 t=77920
long tou 	龍頭	c=1 d=1 t=127593
lou 	摟	c=1 d=1 t=122022
lou 	樓	c=9 d=1.63445 t=168807
lou 	漏	c=9 d=1 t=175414
lou ceng 	樓層	c=7 d=1 t=142999
lou dian 	漏電	c=1 d=1 t=106059
lou diao 	漏掉	c=1 d=1 t=62966
lou dong 	漏洞	c=2 d=1 t=142118
lou lan 	樓蘭	c=1 d=1 t=101272
lou lou 	簍簍	c=1 d=1 t=116716
lou luo 	嘍囉	c=1 d=8.76574e-10 t=176129
lou shang 	樓上	c=1 d=1 t=8499
lou shui 	漏水	c=3 d=1 t=127557
lou ti 	樓梯	c=2 d=1 t=47394
lou xia 	樓下	c=18 d=1.68878e-06 t=176129
lu 	擼	c=1 d=1 t=22213
lu 	路	c=7 d=1 t=165558
lu 	錄	c=13 d=1 t=145502
lu 	陸	c=1 d=1 t=170098
lu 	露	c=2 d=1 t=172695
lu bian 	路邊	c=2 d=1 t=173523
lu bian tan 	路邊攤	c=1 d=1 t=100816
lu biao 	路標	c=1 d=1 t=35753
lu cheng qu 	鹿城區	c=1 d=1 t=126530
lu dan 	滷蛋	c=1 d=1 t=52175
lu fei 	路費	c=4 d=1 t=67221
lu gan shi 	炉甘石	c=2 d=1 t=175300
lu jing 	路徑	c=4 d=1 t=127350
lu juan 	露娟	c=1 d=1 t=168748
lu kou 	路口	c=1 d=1 t=100828
lu kuang 	路況	c=1 d=1 t=137230
lu ru 	錄入	c=3 d=1 t=111445
lu shang 	路上	c=9 d=1 t=157242
lu shi pin 	錄視頻	c=1 d=1 t=16004
lu wei 	滷味	c=1 d=6.4137e-11 t=176129
lu xu 	陸續	c=2 d=1 t=128661
lu yin 	錄音	c=1 d=1.1398e-10 t=176129
lu ying 	露營	c=0 d=0.1 t=165426
lu ying che 	露營車	c=1 d=1 t=165427
lu you 	路由	c=3 d=1 t=114362
lu you qi 	路由器	c=14 d=3.56253 t=130600
lu zi 	路子	c=1 d=1 t=146339
luan 	亂	c=16 d=1 t=174911
luan diao 	亂掉	c=1 d=1 t=152372
luan hua qian 	亂花錢	c=1 d=1 t=138293
luan ma 	亂碼	c=1 d=1 t=84947
luan shi 	亂世	c=1 d=1 t=8565
lun 	論	c=2 d=1.96561 t=51893
lun 	輪	c=2 d=1.90032 t=172218
lun bo 	輪播	c=2 d=1 t=10351
lun bu dao 	輪不到	c=1 d=1 t=87936
lun fan 	輪番	c=1 d=1 t=45948
lun hui 	輪迴	c=1 d=1 t=6287
lun liu 	輪流	c=1 d=1 t=169804
lun tai 	輪胎	c=3 d=1.93239 t=133421
lun xun 	輪訓	c=1 d=0.1 t=91087
luo 	羅	c=1 d=1 t=174155
luo 	落	c=2 d=1 t=103463
luo 	裸	c=1 d=1 t=152568
luo ben 	裸奔	c=1 d=1 t=13670
luo bo 	蘿蔔	c=1 d=1 t=137183
luo bu 	羅布	c=0 d=0.1 t=168935
luo dao 	落到	c=1 d=1 t=108814
luo di 	落地	c=10 d=1 t=169531
luo ji 	邏輯	c=55 d=0.148433 t=176129
luo ri 	落日	c=1 d=1 t=88991
luo si 	螺絲	c=0 d=0.1 t=133410
luo tang ji 	落湯雞	c=1 d=1 t=16421
luo wu 	落伍	c=1 d=1 t=25114
lv 	率	c=1 d=0.1 t=69772
lv 	綠	c=1 d=1 t=162120
lv ben 	綠本	c=1 d=1 t=142974
lv cha 	綠茶	c=1 d=1 t=92883
lv se 	綠色	c=9 d=1 t=151010
lv you 	旅遊	c=5 d=1 t=164247
lv zi 	驢子	c=2 d=1.99501 t=9527
ma 	嗎	c=1 d=1.47087e-10 t=176129
ma 	嘛	c=1850 d=3.86877 t=176129
ma 	媽	c=43 d=1 t=169574
ma 	碼	c=11 d=1 t=133703
ma 	罵	c=10 d=1.00023 t=152385
ma 	馬	c=3 d=0.00527382 t=176129
ma 	麻	c=47 d=1 t=174964
ma an 	麻安	c=2 d=1 t=35792
ma de 	媽的	c=50 d=1.00119 t=170454
ma de 	罵得	c=4 d=7.11461e-06 t=176129
ma de 	馬的	c=2 d=6.68931e-06 t=176129
ma er kang 	馬爾康	c=1 d=2.32917e-06 t=176129
ma fa 	嘛發	c=1 d=1 t=117301
ma fan 	麻煩	c=54 d=0.740818 t=176129
ma la 	麻辣	c=5 d=1 t=158688
ma la ban 	麻辣拌	c=3 d=1 t=154182
ma la tang 	麻辣燙	c=5 d=1 t=128204
ma la xiang guo 	麻辣香鍋	c=1 d=1 t=19987
ma liu 	馬六	c=2 d=1.95123 t=25058
ma lu 	馬路	c=1 d=1 t=100826
ma ma 	媽媽	c=8 d=1 t=146251
ma ma 	麻麻	c=1 d=1 t=122555
ma ni 	罵你	c=3 d=1 t=134714
ma niang 	罵娘	c=2 d=1 t=172070
ma ren 	罵人	c=2 d=1 t=78718
ma shang 	馬上	c=10 d=1 t=172436
ma shou shi zhan 	馬首是瞻	c=1 d=1 t=90242
ma ta 	罵他	c=7 d=1.00184 t=151398
ma tian 	馬田	c=1 d=1 t=124462
ma tong 	馬桶	c=4 d=1.54365e-05 t=176129
ma tong shang 	馬桶上	c=2 d=1 t=163069
ma wo 	罵我	c=1 d=1 t=105625
ma zai 	馬仔	c=1 d=1 t=8634
ma zi da 	馬自達	c=12 d=1.03306 t=128385
mai 	埋	c=1 d=1 t=94612
mai 	買	c=411 d=0.0150709 t=176129
mai 	賣	c=48 d=0.715338 t=176129
mai bao 	買包	c=1 d=1 t=40510
mai bing 	買餅	c=1 d=1 t=97383
mai bu chu qu 	賣不出去	c=1 d=1 t=31072
mai bu dao 	買不到	c=4 d=1 t=134478
mai bu le 	買不了	c=1 d=1 t=81242
mai bu mai 	賣不賣	c=1 d=1 t=130121
mai bu qi 	買不起	c=11 d=1 t=170636
mai che 	買車	c=10 d=1 t=123419
mai chu 	賣出	c=1 d=1 t=89827
mai dan 	買單	c=3 d=0.111855 t=134826
mai dang lao 	麥當勞	c=3 d=8.27415e-07 t=176129
mai dao 	買到	c=3 d=6.46033e-08 t=176129
mai de 	買的	c=26 d=3.72665e-06 t=176129
mai de 	賣的	c=1 d=1 t=16121
mai di 	麥迪	c=7 d=0.0495388 t=176129
mai dian 	買點	c=59 d=1.0001 t=175701
mai dian 	賣點	c=3 d=1 t=14389
mai dong xi 	買東西	c=3 d=1 t=173822
mai duan 	買斷	c=1 d=1.00001 t=12558
mai duan zhi 	買斷製	c=1 d=1 t=10616
mai duo le 	買多了	c=1 d=1 t=107884
mai fang 	買房	c=8 d=1 t=147066
mai fang zi 	買房子	c=1 d=5.67279e-08 t=176129
mai ge 	買個	c=47 d=1 t=165424
mai ge ren 	買個人	c=1 d=1 t=31357
mai guo 	買過	c=1 d=1 t=87894
mai hao 	買好	c=2 d=1 t=128899
mai hui lai 	買回來	c=2 d=0.522046 t=176129
mai hui qu 	買回去	c=1 d=1 t=106244
mai mai 	買買	c=0 d=0.1 t=56141
mai mai mai 	買買買	c=15 d=1.00001 t=147931
mai ming 	賣命	c=1 d=1 t=166528
mai piao 	買票	c=9 d=1.32956 t=97265
mai rou 	賣肉	c=1 d=1 t=34397
mai ru 	買入	c=1 d=1 t=89826
mai sa 	買撒	c=6 d=1 t=162635
mai shen me 	買什麼	c=5 d=0.0015648 t=176129
mai shou ji 	買手機	c=1 d=1 t=31045
mai shui 	買水	c=1 d=1 t=54728
mai tang 	買糖	c=1 d=1 t=147285
mai wan 	買完	c=1 d=1 t=43796
mai wo 	麥我	c=1 d=1 t=30178
mai yao 	買藥	c=3 d=0.000907334 t=176129
mai yi fu 	買衣服	c=2 d=1 t=125902
mai yi ge 	買一個	c=4 d=1 t=157647
mai yi ping 	買一瓶	c=1 d=1 t=38641
mai yi song yi 	買一送一	c=1 d=1 t=112004
mai yi tao 	買一套	c=1 d=1 t=58555
man 	慢	c=27 d=1.00598 t=168730
man 	滿	c=11 d=1.92774 t=172889
man bu 	滿不	c=1 d=1 t=129577
man dian 	慢點	c=3 d=1 t=147686
man dian de 	慢點的	c=1 d=1 t=64044
man hua 	漫畫	c=1 d=0.0411719 t=176129
man man 	慢慢	c=9 d=1 t=175127
man man 	滿滿	c=1 d=1 t=52055
man man deng deng 	滿滿登登	c=2 d=1 t=31274
man tou 	滿頭	c=2 d=1 t=33435
man tou 	饅頭	c=3 d=1.00647 t=144180
man xia 	慢下	c=1 d=1 t=65078
man xing 	慢性	c=1 d=1 t=126832
man yi 	滿意	c=3 d=0.1 t=165334
man yi dian 	慢一點	c=1 d=1 t=71184
man yue 	滿月	c=1 d=1 t=124454
man zai 	滿載	c=1 d=1 t=36347
man zu 	滿足	c=3 d=1.37783e-06 t=176129
mang 	忙	c=114 d=0.557106 t=176129
mang 	盲	c=1 d=1 t=144334
mang bu guo lai 	忙不過來	c=1 d=1 t=163783
mang bu mang 	忙不忙	c=6 d=1 t=172546
mang cheng 	忙成	c=1 d=1 t=16692
mang de 	忙得	c=3 d=1 t=127515
mang guo 	芒果	c=2 d=1 t=106175
mang he 	盲盒	c=14 d=0.442653 t=176129
mang kang 	芒康	c=1 d=1 t=100438
mang lu 	忙碌	c=1 d=1 t=155725
mang qi lai 	忙起來	c=1 d=1 t=41422
mang sa 	忙撒	c=1 d=1 t=168257
mang si 	忙死	c=3 d=1.00485 t=172553
mang wan 	忙完	c=4 d=1 t=131591
mang zhe 	忙着	c=3 d=1 t=157414
mang zhe ni 	忙着呢	c=1 d=1 t=144909
mao 	冒	c=3 d=1 t=81782
mao 	帽	c=1 d=1 t=46700
mao 	毛	c=2 d=1 t=143195
mao 	貓	c=2 d=1 t=148058
mao bing 	毛病	c=1 d=1 t=104396
mao han 	冒汗	c=1 d=1 t=33100
mao mao 	毛毛	c=1 d=1 t=133883
mao mao yu 	毛毛雨	c=1 d=1 t=69782
mao qian 	毛錢	c=4 d=1 t=172625
mao tai 	茅臺	c=1 d=1 t=26467
mao xian 	毛線	c=1 d=1 t=164228
mao yan 	冒煙	c=7 d=0.00146288 t=176129
mao yi 	毛衣	c=0 d=0.1 t=117870
mao yi ya 	毛衣呀	c=1 d=1 t=117871
mao zi 	帽子	c=1 d=1 t=105305
me 	麼	c=7 d=1 t=168508
mei 	妹	c=39 d=1.01378 t=175867
mei 	每	c=7 d=1 t=146961
mei 	沒	c=683 d=0.693295 t=176129
mei 	美	c=1 d=1 t=84234
mei a 	沒啊	c=2 d=1 t=85010
mei ban fa 	沒辦法	c=49 d=0.0135449 t=176129
mei bei zhu 	沒備註	c=1 d=1 t=26555
mei bi 	眉筆	c=1 d=1 t=48229
mei bi yao 	沒必要	c=23 d=1.72979 t=171688
mei bian 	沒變	c=4 d=1.97045 t=150961
mei bie de 	沒別的	c=2 d=1 t=49671
mei cai 	沒菜	c=1 d=1 t=92890
mei cai cuo 	沒猜錯	c=1 d=1 t=112305
mei cao zuo 	沒操作	c=1 d=1 t=152207
mei ce dao 	沒測到	c=1 d=6.0246e-10 t=176129
mei ce shi 	沒測試	c=3 d=1 t=49474
mei cha 	沒查	c=1 d=1 t=151743
mei cha chu lai 	沒查出來	c=4 d=1 t=173442
mei cha dao 	沒查到	c=6 d=1.00024 t=170620
mei cha ru 	沒插入	c=1 d=1 t=110870
mei che 	沒車	c=3 d=1 t=98459
mei cheng gong 	沒成功	c=1 d=1 t=165129
mei chi 	沒喫	c=14 d=0.00185601 t=176129
mei chi bao 	沒喫飽	c=1 d=2.63974e-08 t=176129
mei chi dao 	沒喫到	c=1 d=1 t=98285
mei chi fan 	沒喫飯	c=3 d=1 t=137995
mei chi guo 	沒喫過	c=3 d=1 t=123472
mei chi wan 	沒喫完	c=1 d=1 t=94444
mei chou dao 	沒抽到	c=1 d=1 t=87923
mei chu 	每處	c=1 d=1 t=72154
mei chu 	沒出	c=1 d=1 t=157032
mei chu guo 	沒出過	c=1 d=1 t=58667
mei chu han 	沒出汗	c=1 d=1 t=126308
mei chu lai 	沒出來	c=1 d=1 t=78528
mei chuan 	沒穿	c=2 d=1 t=117232
mei chuang jian 	沒創建	c=1 d=1 t=134821
mei ci 	每次	c=48 d=1.00001 t=175681
mei ci dao 	每次到	c=2 d=1 t=98284
mei cuo 	沒錯	c=3 d=1 t=124619
mei da 	沒打	c=2 d=1 t=37857
mei da mei xiao 	沒大沒小	c=1 d=1 t=104924
mei da yin 	沒打印	c=1 d=1 t=14897
mei dai 	沒帶	c=3 d=0.100297 t=118544
mei dai dian 	沒帶點	c=1 d=1 t=117381
mei dai san 	沒帶傘	c=1 d=1 t=118545
mei dao 	沒到	c=5 d=1 t=136282
mei de 	妹的	c=4 d=1 t=169455
mei de 	沒得	c=16 d=3.54476e-05 t=176129
mei de 	美的	c=1 d=1 t=18363
mei di fang 	沒地方	c=1 d=1 t=72158
mei dian 	沒電	c=3 d=1 t=174806
mei dian 	沒點	c=1 d=1 t=173508
mei diao yong 	沒調用	c=2 d=1 t=102968
mei dong 	沒動	c=4 d=1 t=127216
mei dong jing 	沒動靜	c=1 d=1 t=115458
mei du che 	沒堵車	c=1 d=1 t=141064
mei duan xin 	沒短信	c=1 d=1 t=108672
mei dui shang 	沒對上	c=1 d=1 t=101059
mei duo shao 	沒多少	c=3 d=1 t=157099
mei duo yuan 	沒多遠	c=1 d=1 t=27379
mei fa 	沒法	c=0 d=0.1 t=29173
mei fa 	沒發	c=10 d=1.00625 t=164792
mei fa chu lai 	沒法出來	c=1 d=1 t=29174
mei fa hao 	沒發好	c=1 d=1 t=81179
mei fa hua 	沒發話	c=1 d=1 t=76868
mei fa xian 	沒發現	c=3 d=1 t=144438
mei fan hui 	沒返回	c=2 d=1 t=105633
mei fang 	沒房	c=1 d=1 t=58771
mei fang 	沒放	c=1 d=1 t=151553
mei fu xian 	沒復現	c=1 d=1 t=91655
mei gai 	沒改	c=15 d=1 t=167800
mei gai guo 	沒改過	c=1 d=1 t=116272
mei gan 	沒幹	c=9 d=1 t=124631
mei gan 	沒趕	c=0 d=0.1 t=65933
mei gan huo er 	沒幹活兒	c=3 d=1 t=76114
mei gan shang 	沒趕上	c=2 d=1 t=170113
mei gao 	沒搞	c=1 d=1 t=36317
mei gao guo 	沒搞過	c=5 d=1 t=68735
mei gao wan 	沒搞完	c=4 d=1 t=87698
mei ge 	每個	c=23 d=7.77319e-08 t=176129
mei ge ren 	每個人	c=3 d=1 t=151327
mei ge yue 	每個月	c=10 d=6.84444e-11 t=176129
mei gei ni 	沒給你	c=2 d=1 t=34668
mei gei qian 	沒給錢	c=1 d=1 t=13180
mei gei wo 	沒給我	c=9 d=1 t=107951
mei gen 	沒跟	c=2 d=1 t=75064
mei gen ju 	沒根據	c=1 d=1 t=14753
mei gen ni 	沒跟你	c=1 d=1 t=151427
mei gen wo shuo 	沒跟我說	c=1 d=6.03917e-09 t=176129
mei geng xin 	沒更新	c=2 d=1 t=66360
mei gong wei 	沒工位	c=1 d=1 t=24604
mei gu 	美股	c=3 d=2.91316 t=8786
mei guan xi 	沒關係	c=33 d=0.153355 t=176129
mei guo 	沒過	c=1 d=1 t=23680
mei guo qi 	沒過期	c=1 d=1 t=73334
mei han wo 	沒喊我	c=2 d=1.00002 t=26884
mei hao de 	美好的	c=1 d=1 t=116360
mei he 	沒合	c=8 d=1 t=167440
mei he 	沒喝	c=1 d=1 t=143155
mei he bing 	沒合併	c=1 d=1 t=164568
mei he guo 	沒喝過	c=1 d=1 t=77520
mei he shui 	沒喝水	c=2 d=1 t=96651
mei hei you 	煤黑油	c=1 d=1 t=106126
mei hua 	沒花	c=1 d=1 t=147429
mei hua 	沒話	c=2 d=3.5997e-10 t=176129
mei hui 	沒回	c=1 d=1 t=68495
mei hui wo 	沒回我	c=4 d=1.90937 t=94677
mei huo 	沒貨	c=2 d=1.98511 t=140381
mei huo er 	沒活兒	c=10 d=1 t=175333
mei ji ge ren 	沒幾個人	c=1 d=1 t=39056
mei ji hui 	沒機會	c=2 d=1 t=139767
mei jia 	沒加	c=9 d=2.1942 t=153142
mei jia 	美甲	c=1 d=1 t=128134
mei jian 	沒見	c=1 d=1 t=122147
mei jian guo 	沒見過	c=1 d=0.1 t=155641
mei jiao 	沒交	c=3 d=1 t=115512
mei jie 	沒借	c=1 d=1 t=42037
mei jie 	沒接	c=1 d=1 t=13187
